respondent_id,xyz_vaccine,seasonal_vaccine
215,0.05,0.71
216,0.18,0.48
217,0.8,0.98
218,0.27,0.68
219,0.42,0.53
220,0.3,0.67
221,0.15,0.49
222,0.11,0.29
223,0.55,0.75
224,0.18,0.38
225,0.17,0.83
226,0.04,0.49
227,0.37,0.71
228,0.13,0.49
229,0.4,0.37
230,0.17,0.76
231,0.05,0.06
232,0.03,0.11
233,0.11,0.3
234,0.06,0.35
235,0.66,0.75
236,0.2,0.6
237,0.01,0.13
238,0.04,0.59
239,0.08,0.61
240,0.26,0.55
241,0.04,0.12
242,0.02,0.1
243,0.0,0.45
244,0.13,0.32
245,0.76,0.88
246,0.4,0.88
247,0.01,0.18
248,0.05,0.64
249,0.29,0.14
250,0.15,0.91
251,0.18,0.85
252,0.15,0.28
253,0.03,0.06
254,0.2,0.32
255,0.19,0.82
256,0.09,0.21
257,0.01,0.22
258,0.58,0.84
259,0.03,0.07
260,0.08,0.3
261,0.05,0.87
262,0.16,0.31
263,0.64,0.69
264,0.1,0.16
265,0.02,0.08
266,0.15,0.16
267,0.16,0.32
268,0.13,0.55
269,0.8,0.6
270,0.02,0.36
271,0.06,0.65
272,0.6,0.74
273,0.05,0.06
274,0.09,0.47
275,0.66,0.85
276,0.24,0.41
277,0.07,0.12
278,0.0,0.13
279,0.07,0.4
280,0.04,0.15
281,0.03,0.16
282,0.35,0.81
283,0.03,0.13
284,0.16,0.51
285,0.3,0.58
286,0.02,0.92
287,0.27,0.31
288,0.15,0.51
289,0.32,0.44
290,0.01,0.04
291,0.04,0.07
292,0.24,0.6
293,0.07,0.45
294,0.1,0.79
295,0.09,0.34
296,0.01,0.04
297,0.17,0.14
298,0.49,0.86
299,0.8,0.72
300,0.03,0.18
301,0.17,0.14
302,0.07,0.31
303,0.04,0.11
304,0.09,0.12
305,0.38,0.49
306,0.16,0.42
307,0.05,0.36
308,0.14,0.2
309,0.11,0.34
310,0.54,0.83
311,0.03,0.32
312,0.96,0.97
313,0.19,0.36
314,0.29,0.59
315,0.08,0.21
316,0.07,0.31
317,0.1,0.39
318,0.2,0.23
319,0.1,0.37
320,0.04,0.69
321,0.37,0.82
322,0.19,0.29
323,0.35,0.37
324,0.48,0.79
325,0.22,0.58
326,0.43,0.7
327,0.04,0.6
328,0.11,0.2
329,0.2,0.76
330,0.64,0.56
331,0.02,0.01
332,0.51,0.91
333,0.16,0.37
334,0.03,0.59
335,0.13,0.49
336,0.41,0.69
337,0.07,0.13
338,0.08,0.55
339,0.03,0.12
340,0.46,0.53
341,0.15,0.6
342,0.38,0.81
343,0.11,0.57
344,0.21,0.31
345,0.06,0.29
346,0.83,0.91
347,0.03,0.07
348,0.09,0.83
349,0.19,0.2
350,0.04,0.06
351,0.9,0.95
352,0.08,0.16
353,0.03,0.24
354,0.06,0.43
355,0.11,0.47
356,0.06,0.45
357,0.15,0.38
358,0.22,0.56
359,0.09,0.43
360,0.52,0.82
361,0.53,0.8
362,0.61,0.86
363,0.03,0.06
364,0.03,0.03
365,0.21,0.64
366,0.1,0.89
367,0.15,0.26
368,0.57,0.76
369,0.46,0.75
370,0.1,0.19
371,0.23,0.68
372,0.21,0.83
373,0.12,0.3
374,0.07,0.75
375,0.2,0.29
376,0.15,0.36
377,0.62,0.73
378,0.01,0.08
379,0.04,0.14
380,0.03,0.18
381,0.41,0.65
382,0.18,0.22
383,0.39,0.7
384,0.69,0.37
385,0.19,0.21
386,0.2,0.21
387,0.04,0.13
388,0.1,0.66
389,0.15,0.25
390,0.43,0.66
391,0.51,0.88
392,0.27,0.47
393,0.1,0.73
394,0.06,0.51
395,0.14,0.76
396,0.09,0.13
397,0.42,0.61
398,0.17,0.39
399,0.57,0.83
400,0.59,0.79
401,0.41,0.32
402,0.03,0.14
403,0.1,0.31
404,0.08,0.41
405,0.42,0.58
406,0.04,0.05
407,0.03,0.13
408,0.54,0.72
409,0.12,0.85
410,0.0,0.09
411,0.07,0.49
412,0.13,0.24
413,0.35,0.93
414,0.04,0.69
415,0.02,0.44
416,0.14,0.23
417,0.02,0.26
418,0.04,0.03
419,0.21,0.2
420,0.05,0.16
421,0.22,0.39
422,0.21,0.49
423,0.1,0.29
424,0.08,0.1
425,0.32,0.84
426,0.13,0.52
427,0.75,0.96
428,0.04,0.41
429,0.11,0.55
430,0.18,0.22
431,0.1,0.48
432,0.1,0.25
433,0.86,0.95
434,0.69,0.77
435,0.01,0.18
436,0.35,0.44
437,0.04,0.25
438,0.54,0.69
439,0.15,0.87
440,0.09,0.18
441,0.05,0.12
442,0.21,0.23
443,0.36,0.84
444,0.28,0.92
445,0.06,0.17
446,0.17,0.75
447,0.79,0.9
448,0.1,0.78
449,0.0,0.19
450,0.11,0.45
451,0.01,0.31
452,0.01,0.18
453,0.26,0.26
454,0.36,0.64
455,0.12,0.8
456,0.53,0.54
457,0.15,0.28
458,0.58,0.74
459,0.19,0.28
460,0.11,0.46
461,0.14,0.57
462,0.47,0.67
463,0.64,0.9
464,0.03,0.22
465,0.07,0.78
466,0.34,0.44
467,0.16,0.2
468,0.05,0.08
469,0.7,0.83
470,0.79,0.79
471,0.06,0.19
472,0.09,0.25
473,0.11,0.25
474,0.05,0.78
475,0.52,0.83
476,0.03,0.67
477,0.21,0.28
478,0.36,0.63
479,0.3,0.76
480,0.1,0.35
481,0.07,0.38
482,0.21,0.65
483,0.27,0.77
484,0.19,0.88
485,0.32,0.72
486,0.01,0.11
487,0.22,0.39
488,0.01,0.22
489,0.24,0.21
490,0.11,0.62
491,0.61,0.96
492,0.12,0.41
493,0.14,0.53
494,0.46,0.77
495,0.13,0.2
496,0.08,0.13
497,0.02,0.03
498,0.21,0.38
499,0.38,0.47
500,0.29,0.21
501,0.68,0.67
502,0.16,0.23
503,0.05,0.25
504,0.1,0.32
505,0.28,0.83
506,0.34,0.55
507,0.03,0.18
508,0.22,0.6
509,0.21,0.86
510,0.15,0.27
511,0.62,0.84
512,0.63,0.71
513,0.43,0.43
514,0.03,0.76
515,0.13,0.57
516,0.08,0.69
517,0.06,0.56
518,0.22,0.24
519,0.05,0.33
520,0.19,0.33
521,0.69,0.92
522,0.53,0.78
523,0.32,0.81
524,0.46,0.79
525,0.11,0.59
526,0.44,0.44
527,0.04,0.17
528,0.83,0.96
529,0.19,0.83
530,0.71,0.78
531,0.4,0.84
532,0.27,0.26
533,0.03,0.25
534,0.06,0.16
535,0.27,0.59
536,0.08,0.17
537,0.0,0.13
538,0.09,0.48
539,0.66,0.84
540,0.21,0.99
541,0.21,0.69
542,0.07,0.69
543,0.04,0.17
544,0.04,0.43
545,0.18,0.49
546,0.05,0.79
547,0.81,0.97
548,0.14,0.34
549,0.75,0.91
550,0.41,0.46
551,0.43,0.76
552,0.5,0.8
553,0.19,0.25
554,0.27,0.65
555,0.15,0.46
556,0.09,0.08
557,0.13,0.2
558,0.12,0.45
559,0.14,0.28
560,0.24,0.54
561,0.08,0.15
562,0.5,0.6
563,0.03,0.12
564,0.04,0.19
565,0.16,0.38
566,0.15,0.21
567,0.11,0.39
568,0.14,0.43
569,0.0,0.19
570,0.08,0.92
571,0.09,0.41
572,0.07,0.3
573,0.51,0.63
574,0.06,0.39
575,0.11,0.96
576,0.06,0.2
577,0.31,0.51
578,0.04,0.38
579,0.2,0.44
580,0.09,0.48
581,0.51,0.72
582,0.1,0.57
583,0.05,0.06
584,0.52,0.79
585,0.06,0.6
586,0.07,0.85
587,0.05,0.12
588,0.47,0.88
589,0.1,0.78
590,0.17,0.82
591,0.04,0.18
592,0.22,0.62
593,0.13,0.8
594,0.04,0.05
595,0.2,0.65
596,0.21,0.17
597,0.06,0.7
598,0.07,0.1
599,0.29,0.56
600,0.79,0.82
601,0.22,0.23
602,0.75,0.99
603,0.05,0.26
604,0.05,0.08
605,0.17,0.52
606,0.05,0.12
607,0.05,0.09
608,0.05,0.31
609,0.19,0.67
610,0.15,0.29
611,0.11,0.27
612,0.34,0.78
613,0.24,0.84
614,0.1,0.69
615,0.49,0.51
616,0.04,0.5
617,0.21,0.64
618,0.84,0.95
619,0.09,0.64
620,0.17,0.31
621,0.29,0.38
622,0.13,0.28
623,0.1,0.68
624,0.1,0.23
625,0.13,0.92
626,0.69,0.77
627,0.03,0.05
628,0.19,0.18
629,0.14,0.17
630,0.26,0.64
631,0.18,0.42
632,0.13,0.3
633,0.0,0.11
634,0.24,0.77
635,0.17,0.69
636,0.06,0.1
637,0.32,0.5
638,0.05,0.25
639,0.47,0.84
640,0.75,0.92
641,0.03,0.26
642,0.12,0.22
643,0.08,0.84
644,0.51,0.86
645,0.07,0.39
646,0.03,0.21
647,0.28,0.75
648,0.28,0.39
649,0.31,0.7
650,0.04,0.28
651,0.41,0.68
652,0.42,0.64
653,0.36,0.59
654,0.05,0.79
655,0.33,0.52
656,0.1,0.19
657,0.02,0.53
658,0.47,0.7
659,0.35,0.62
660,0.34,0.5
661,0.03,0.47
662,0.07,0.12
663,0.04,0.7
664,0.15,0.32
665,0.13,0.14
666,0.78,0.68
667,0.01,0.22
668,0.17,0.82
669,0.4,0.4
670,0.12,0.64
671,0.08,0.14
672,0.1,0.16
673,0.2,0.79
674,0.08,0.6
675,0.15,0.25
676,0.11,0.66
677,0.1,0.38
678,0.11,0.89
679,0.06,0.87
680,0.63,0.68
681,0.17,0.36
682,0.06,0.16
683,0.02,0.06
684,0.23,0.67
685,0.85,0.9
686,0.0,0.11
687,0.02,0.42
688,0.66,0.67
689,0.1,0.21
690,0.82,0.98
691,0.19,0.73
692,0.2,0.63
693,0.03,0.69
694,0.27,0.34
695,0.18,0.68
696,0.05,0.09
697,0.2,0.21
698,0.72,0.81
699,0.05,0.18
700,0.07,0.19
701,0.13,0.58
702,0.7,0.92
703,0.02,0.17
704,0.14,0.15
705,0.23,0.64
706,0.14,0.33
707,0.59,0.78
708,0.06,0.47
709,0.04,0.26
710,0.36,0.58
711,0.32,0.29
712,0.65,0.89
713,0.1,0.09
714,0.19,0.36
715,0.25,0.74
716,0.05,0.19
717,0.1,0.43
718,0.16,0.51
719,0.17,0.39
720,0.04,0.36
721,0.02,0.05
722,0.39,0.34
723,0.17,0.5
724,0.16,0.6
725,0.19,0.45
726,0.16,0.82
727,0.11,0.28
728,0.26,0.54
729,0.03,0.08
730,0.11,0.25
731,0.02,0.19
732,0.13,0.38
733,0.27,0.29
734,0.89,0.86
735,0.36,0.82
736,0.03,0.15
737,0.05,0.12
738,0.09,0.09
739,0.3,0.26
740,0.06,0.21
741,0.26,0.62
742,0.28,0.78
743,0.32,0.75
744,0.03,0.13
745,0.09,0.26
746,0.13,0.87
747,0.1,0.46
748,0.16,0.32
749,0.17,0.33
750,0.02,0.11
751,0.05,0.34
752,0.06,0.19
753,0.8,0.85
754,0.21,0.16
755,0.05,0.36
756,0.09,0.28
757,0.44,0.5
758,0.83,0.87
759,0.03,0.09
760,0.05,0.25
761,0.07,0.42
762,0.11,0.56
763,0.61,0.83
764,0.18,0.77
765,0.4,0.59
766,0.2,0.35
767,0.15,0.32
768,0.03,0.05
769,0.18,0.33
770,0.07,0.17
771,0.13,0.7
772,0.06,0.36
773,0.41,0.75
774,0.65,0.81
775,0.33,0.24
776,0.67,0.73
777,0.16,0.7
778,0.06,0.68
779,0.2,0.29
780,0.22,0.83
781,0.65,0.84
782,0.86,0.74
783,0.02,0.38
784,0.42,0.62
785,0.0,0.35
786,0.26,0.79
787,0.2,0.76
788,0.16,0.34
789,0.03,0.05
790,0.13,0.17
791,0.17,0.73
792,0.03,0.94
793,0.31,0.82
794,0.05,0.36
795,0.17,0.46
796,0.15,0.66
797,0.04,0.05
798,0.02,0.15
799,0.23,0.69
800,0.11,0.12
801,0.19,0.31
802,0.08,0.51
803,0.55,0.37
804,0.23,0.61
805,0.06,0.24
806,0.12,0.62
807,0.29,0.63
808,0.54,0.42
809,0.48,0.78
810,0.04,0.02
811,0.84,0.89
812,0.08,0.05
813,0.0,0.06
814,0.13,0.34
815,0.09,0.19
816,0.01,0.16
817,0.25,0.55
818,0.05,0.3
819,0.33,0.55
820,0.05,0.91
821,0.43,0.87
822,0.2,0.78
823,0.03,0.04
824,0.05,0.11
825,0.04,0.93
826,0.41,0.44
827,0.11,0.14
828,0.11,0.66
829,0.2,0.34
830,0.48,0.65
831,0.3,0.41
832,0.27,0.72
833,0.32,0.2
834,0.68,0.92
835,0.03,0.13
836,0.56,0.68
837,0.14,0.25
838,0.18,0.17
839,0.39,0.58
840,0.14,0.17
841,0.14,0.91
842,0.08,0.79
843,0.12,0.41
844,0.04,0.64
845,0.03,0.75
846,0.07,0.44
847,0.15,0.36
848,0.07,0.18
849,0.24,0.65
850,0.33,0.87
851,0.04,0.19
852,0.39,0.77
853,0.46,0.74
854,0.51,0.8
855,0.3,0.61
856,0.24,0.63
857,0.25,0.36
858,0.1,0.31
859,0.24,0.26
860,0.11,0.58
861,0.3,0.77
862,0.32,0.59
863,0.32,0.68
864,0.03,0.06
865,0.02,0.03
866,0.1,0.14
867,0.32,0.61
868,0.06,0.33
869,0.03,0.18
870,0.13,0.43
871,0.26,0.44
872,0.05,0.54
873,0.05,0.68
874,0.07,0.22
875,0.08,0.11
876,0.03,0.11
877,0.58,0.58
878,0.1,0.49
879,0.5,0.77
880,0.07,0.81
881,0.07,0.34
882,0.09,0.57
883,0.19,0.48
884,0.16,0.72
885,0.04,0.05
886,0.03,0.13
887,0.05,0.61
888,0.05,0.13
889,0.21,0.18
890,0.2,0.31
891,0.19,0.3
892,0.45,0.77
893,0.14,0.52
894,0.13,0.63
895,0.74,0.88
896,0.08,0.06
897,0.04,0.31
898,0.48,0.47
899,0.16,0.25
900,0.43,0.54
901,0.26,0.66
902,0.07,0.79
903,0.32,0.65
904,0.33,0.22
905,0.06,0.45
906,0.84,0.93
907,0.11,0.34
908,0.2,0.85
909,0.01,0.03
910,0.26,0.49
911,0.26,0.53
912,0.31,0.34
913,0.2,0.6
914,0.2,0.18
915,0.71,0.96
916,0.06,0.72
917,0.21,0.68
918,0.06,0.45
919,0.02,0.18
920,0.86,0.87
921,0.08,0.75
922,0.04,0.08
923,0.5,0.76
924,0.19,0.35
925,0.09,0.44
926,0.62,0.68
927,0.19,0.27
928,0.06,0.44
929,0.37,0.81
930,0.08,0.08
931,0.33,0.38
932,0.03,0.33
933,0.52,0.67
934,0.36,0.49
935,0.32,0.74
936,0.05,0.07
937,0.13,0.6
938,0.13,0.2
939,0.06,0.4
940,0.06,0.15
941,0.1,0.22
942,0.11,0.42
943,0.11,0.59
944,0.42,0.85
945,0.11,0.33
946,0.07,0.17
947,0.14,0.59
948,0.23,0.54
949,0.12,0.23
950,0.43,0.29
951,0.06,0.55
952,0.04,0.05
953,0.34,0.41
954,0.15,0.11
955,0.04,0.22
956,0.31,0.75
957,0.3,0.22
958,0.56,0.78
959,0.19,0.87
960,0.01,0.02
961,0.79,0.95
962,0.33,0.9
963,0.47,0.96
964,0.08,0.75
965,0.01,0.13
966,0.09,0.22
967,0.13,0.5
968,0.53,0.7
969,0.2,0.72
970,0.09,0.13
971,0.08,0.25
972,0.13,0.53
973,0.78,0.91
974,0.05,0.1
975,0.06,0.75
976,0.18,0.58
977,0.08,0.24
978,0.07,0.1
979,0.15,0.29
980,0.08,0.1
981,0.04,0.64
982,0.69,0.92
983,0.68,0.91
984,0.86,0.86
985,0.02,0.38
986,0.14,0.68
987,0.2,0.48
988,0.19,0.56
989,0.07,0.74
990,0.71,0.76
991,0.32,0.51
992,0.02,0.16
993,0.09,0.58
994,0.26,0.53
995,0.27,0.29
996,0.08,0.09
997,0.06,0.11
998,0.58,0.72
999,0.11,0.82
1000,0.03,0.44
1001,0.23,0.59
1002,0.28,0.33
1003,0.12,0.23
1004,0.64,0.72
1005,0.05,0.11
1006,0.01,0.07
1007,0.22,0.16
1008,0.79,0.75
1009,0.17,0.37
1010,0.18,0.22
1011,0.21,0.3
1012,0.0,0.05
1013,0.08,0.35
1014,0.35,0.36
1015,0.26,0.36
1016,0.24,0.8
1017,0.16,0.27
1018,0.12,0.45
1019,0.19,0.42
1020,0.37,0.9
1021,0.34,0.42
1022,0.06,0.16
1023,0.77,0.87
1024,0.94,0.91
1025,0.03,0.85
1026,0.04,0.2
1027,0.1,0.37
1028,0.21,0.52
1029,0.2,0.28
1030,0.14,0.66
1031,0.54,0.98
1032,0.6,0.83
1033,0.01,0.33
1034,0.26,0.68
1035,0.05,0.62
1036,0.57,0.83
1037,0.08,0.31
1038,0.54,0.93
1039,0.15,0.74
1040,0.19,0.33
1041,0.28,0.3
1042,0.13,0.67
1043,0.3,0.29
1044,0.14,0.26
1045,0.29,0.75
1046,0.04,0.12
1047,0.11,0.66
1048,0.84,0.87
1049,0.18,0.21
1050,0.01,0.06
1051,0.09,0.77
1052,0.01,0.09
1053,0.36,0.82
1054,0.15,0.81
1055,0.15,0.27
1056,0.02,0.67
1057,0.39,0.51
1058,0.12,0.54
1059,0.8,0.78
1060,0.49,0.75
1061,0.26,0.12
1062,0.14,0.37
1063,0.03,0.6
1064,0.08,0.62
1065,0.86,0.9
1066,0.1,0.5
1067,0.19,0.16
1068,0.21,0.3
1069,0.02,0.03
1070,0.15,0.6
1071,0.19,0.16
1072,0.12,0.21
1073,0.2,0.88
1074,0.03,0.09
1075,0.84,0.91
1076,0.12,0.72
1077,0.08,0.26
1078,0.03,0.26
1079,0.1,0.15
1080,0.15,0.3
1081,0.01,0.07
1082,0.79,0.9
1083,0.69,0.8
1084,0.02,0.26
1085,0.06,0.69
1086,0.13,0.16
1087,0.2,0.27
1088,0.32,0.7
1089,0.22,0.46
1090,0.41,0.64
1091,0.15,0.24
1092,0.06,0.23
1093,0.32,0.32
1094,0.03,0.17
1095,0.77,0.93
1096,0.0,0.01
1097,0.51,0.79
1098,0.18,0.24
1099,0.23,0.8
1100,0.31,0.72
1101,0.28,0.23
1102,0.4,0.75
1103,0.01,0.24
1104,0.05,0.07
1105,0.08,0.15
1106,0.38,0.4
1107,0.13,0.19
1108,0.14,0.4
1109,0.49,0.66
1110,0.32,0.45
1111,0.12,0.7
1112,0.06,0.13
1113,0.76,0.78
1114,0.11,0.27
1115,0.13,0.21
1116,0.22,0.38
1117,0.2,0.68
1118,0.25,0.35
1119,0.23,0.57
1120,0.15,0.18
1121,0.02,0.23
1122,0.0,0.12
1123,0.22,0.21
1124,0.13,0.52
1125,0.14,0.62
1126,0.16,0.29
1127,0.61,0.8
1128,0.27,0.68
1129,0.12,0.86
1130,0.47,0.82
1131,0.02,0.41
1132,0.03,0.14
1133,0.32,0.68
1134,0.08,0.26
1135,0.52,0.73
1136,0.04,0.51
1137,0.09,0.93
1138,0.09,0.75
1139,0.18,0.32
1140,0.06,0.46
1141,0.76,0.87
1142,0.12,0.71
1143,0.18,0.31
1144,0.5,0.31
1145,0.27,0.63
1146,0.16,0.14
1147,0.21,0.56
1148,0.08,0.63
1149,0.39,0.71
1150,0.35,0.85
1151,0.85,0.95
1152,0.8,0.88
1153,0.16,0.66
1154,0.01,0.2
1155,0.14,0.35
1156,0.22,0.31
1157,0.02,0.32
1158,0.18,0.57
1159,0.68,0.79
1160,0.62,0.69
1161,0.46,0.8
1162,0.06,0.44
1163,0.4,0.21
1164,0.12,0.53
1165,0.06,0.17
1166,0.15,0.1
1167,0.31,0.76
1168,0.26,0.52
1169,0.17,0.13
1170,0.13,0.67
1171,0.16,0.64
1172,0.18,0.57
1173,0.1,0.23
1174,0.04,0.76
1175,0.0,0.17
1176,0.07,0.13
1177,0.1,0.3
1178,0.02,0.13
1179,0.14,0.35
1180,0.38,0.52
1181,0.13,0.46
1182,0.1,0.12
1183,0.16,0.51
1184,0.22,0.52
1185,0.13,0.18
1186,0.06,0.29
1187,0.22,0.24
1188,0.26,0.78
1189,0.08,0.54
1190,0.02,0.09
1191,0.07,0.16
1192,0.02,0.69
1193,0.41,0.92
1194,0.09,0.09
1195,0.09,0.32
1196,0.2,0.12
1197,0.14,0.38
1198,0.08,0.27
1199,0.04,0.72
1200,0.7,0.94
1201,0.35,0.68
1202,0.2,0.2
1203,0.12,0.56
1204,0.57,0.73
1205,0.04,0.48
1206,0.02,0.23
1207,0.1,0.36
1208,0.04,0.39
1209,0.11,0.58
1210,0.17,0.43
1211,0.16,0.95
1212,0.13,0.44
1213,0.23,0.74
1214,0.23,0.66
1215,0.47,0.58
1216,0.13,0.9
1217,0.19,0.19
1218,0.01,0.04
1219,0.32,0.36
1220,0.05,0.14
1221,0.52,0.8
1222,0.02,0.95
1223,0.11,0.23
1224,0.74,0.93
1225,0.09,0.07
1226,0.03,0.24
1227,0.5,0.78
1228,0.29,0.76
1229,0.2,0.66
1230,0.79,0.86
1231,0.02,0.24
1232,0.04,0.1
1233,0.02,0.09
1234,0.02,0.34
1235,0.01,0.16
1236,0.07,0.66
1237,0.26,0.36
1238,0.5,0.42
1239,0.07,0.2
1240,0.58,0.79
1241,0.04,0.12
1242,0.05,0.4
1243,0.05,0.87
1244,0.64,0.73
1245,0.08,0.78
1246,0.16,0.71
1247,0.1,0.75
1248,0.0,0.84
1249,0.44,0.83
1250,0.13,0.22
1251,0.62,0.84
1252,0.25,0.29
1253,0.14,0.39
1254,0.03,0.2
1255,0.71,0.87
1256,0.04,0.09
1257,0.01,0.13
1258,0.03,0.1
1259,0.46,0.82
1260,0.05,0.16
1261,0.26,0.63
1262,0.46,0.8
1263,0.12,0.28
1264,0.08,0.7
1265,0.17,0.48
1266,0.54,0.86
1267,0.26,0.5
1268,0.04,0.12
1269,0.15,0.2
1270,0.06,0.21
1271,0.15,0.32
1272,0.21,0.59
1273,0.06,0.12
1274,0.05,0.33
1275,0.02,0.64
1276,0.48,0.9
1277,0.14,0.36
1278,0.04,0.91
1279,0.71,0.7
1280,0.2,0.57
1281,0.01,0.57
1282,0.13,0.52
1283,0.2,0.39
1284,0.22,0.51
1285,0.01,0.05
1286,0.05,0.18
1287,0.28,0.84
1288,0.11,0.68
1289,0.01,0.06
1290,0.18,0.16
1291,0.09,0.76
1292,0.36,0.85
1293,0.03,0.2
1294,0.0,0.05
1295,0.05,0.03
1296,0.01,0.47
1297,0.21,0.41
1298,0.21,0.38
1299,0.07,0.3
1300,0.16,0.45
1301,0.02,0.77
1302,0.03,0.31
1303,0.03,0.18
1304,0.03,0.71
1305,0.77,0.87
1306,0.43,0.72
1307,0.02,0.15
1308,0.32,0.74
1309,0.52,0.76
1310,0.04,0.29
1311,0.03,0.64
1312,0.11,0.13
1313,0.05,0.08
1314,0.38,0.59
1315,0.31,0.5
1316,0.39,0.64
1317,0.06,0.31
1318,0.58,0.71
1319,0.06,0.21
1320,0.32,0.63
1321,0.33,0.93
1322,0.35,0.67
1323,0.73,0.92
1324,0.02,0.09
1325,0.12,0.54
1326,0.27,0.23
1327,0.64,0.75
1328,0.16,0.19
1329,0.08,0.41
1330,0.16,0.48
1331,0.02,0.13
1332,0.08,0.38
1333,0.32,0.92
1334,0.08,0.94
1335,0.07,0.19
1336,0.64,0.79
1337,0.1,0.42
1338,0.3,0.56
1339,0.02,0.5
1340,0.06,0.74
1341,0.1,0.11
1342,0.05,0.76
1343,0.03,0.28
1344,0.05,0.77
1345,0.22,0.46
1346,0.04,0.23
1347,0.3,0.37
1348,0.21,0.29
1349,0.66,0.94
1350,0.08,0.76
1351,0.02,0.3
1352,0.03,0.29
1353,0.03,0.26
1354,0.17,0.33
1355,0.29,0.39
1356,0.09,0.25
1357,0.04,0.6
1358,0.07,0.19
